[ 2012-09-28T03:40:23+08:00 ] /taodandan/index/index.html | INFO: Tag[ view_template ] --END-- [ RunTime:0.003202s ]
[ 2012-09-28T03:40:23+08:00 ] /taodandan/index/index.html | INFO: Tag[ view_parse ] --START--
[ 2012-09-28T03:40:23+08:00 ] /taodandan/index/index.html | INFO: Run ParseTemplate Behavior [ RunTime:0.015247s ]
[ 2012-09-28T03:40:23+08:00 ] /taodandan/index/index.html | INFO: Tag[ view_parse ] --END-- [ RunTime:0.015348s ]
[ 2012-09-28T03:40:23+08:00 ] /taodandan/index/index.html | INFO: Tag[ view_filter ] --START--
[ 2012-09-28T03:40:23+08:00 ] /taodandan/index/index.html | INFO: Run ContentReplace Behavior [ RunTime:0.000993s ]
[ 2012-09-28T03:40:23+08:00 ] /taodandan/index/index.html | INFO: Run TokenBuild Behavior [ RunTime:0.000999s ]
[ 2012-09-28T03:40:23+08:00 ] /taodandan/index/index.html | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000790s ]
[ 2012-09-28T03:40:23+08:00 ] /taodandan/index/index.html | INFO: Run ShowRuntime Behavior [ RunTime:0.001073s ]
[ 2012-09-28T03:40:23+08:00 ] /taodandan/index/index.html | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004071s ]
[ 2012-09-28T03:40:23+08:00 ] /taodandan/index/index.html | INFO: Tag[ view_end ] --START--
[ 2012-09-28T03:40:23+08:00 ] /taodandan/index/index.html | INFO: Run ShowPageTrace Behavior [ RunTime:0.001060s ]
[ 2012-09-28T03:40:23+08:00 ] /taodandan/index/index.html | INFO: Tag[ view_end ] --END-- [ RunTime:0.001132s ]
[ 2012-09-28T03:40:24+08:00 ] /taodandan/index/main.css | ERR: (ThinkException) 非法操作main.css
[ 2012-09-28T03:41:46+08:00 ] /taodandan/Index/index.html | INFO: Tag[ route_check ] --START--
[ 2012-09-28T03:41:46+08:00 ] /taodandan/Index/index.html | INFO: Run CheckRoute Behavior [ RunTime:0.001205s ]
[ 2012-09-28T03:41:46+08:00 ] /taodandan/Index/index.html | INFO: Tag[ route_check ] --END-- [ RunTime:0.001274s ]
[ 2012-09-28T03:41:46+08:00 ] /taodandan/Index/index.html | INFO: Tag[ app_begin ] --START--
[ 2012-09-28T03:41:46+08:00 ] /taodandan/Index/index.html | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000820s ]
[ 2012-09-28T03:41:46+08:00 ] /taodandan/Index/index.html | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000865s ]
[ 2012-09-28T03:41:46+08:00 ] /taodandan/Index/index.html | NOTIC: [2] Missing argument 1 for UserModel::__construct(), called in C:\xampp\htdocs\taodandan\top\Lib\Action\IndexAction.class.php on line 21 and defined UserModel.class.php 第 17 行.
[ 2012-09-28T03:41:47+08:00 ] /taodandan/Index/index.html | SQL: SHOW COLUMNS FROM `sk_user` [ RunTime:0.011281s ]
[ 2012-09-28T03:41:47+08:00 ] /taodandan/Index/index.html | NOTIC: [8] Undefined variable: userId UserModel.class.php 第 20 行.
[ 2012-09-28T03:41:47+08:00 ] /taodandan/Index/index.html | INFO: Tag[ view_template ] --START--
[ 2012-09-28T03:41:47+08:00 ] /taodandan/Index/index.html | INFO: Run LocationTemplate Behavior [ RunTime:0.003388s ]
[ 2012-09-28T03:41:47+08:00 ] /taodandan/Index/index.html | INFO: Tag[ view_template ] --END-- [ RunTime:0.003536s ]
[ 2012-09-28T03:41:47+08:00 ] /taodandan/Index/index.html | INFO: Tag[ view_parse ] --START--
