[ 2012-07-01T08:15:42+08:00 ] /top/index.php | INFO: Tag[ app_begin ] --START--
[ 2012-07-01T08:15:42+08:00 ] /top/index.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001298s ]
[ 2012-07-01T08:15:42+08:00 ] /top/index.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002227s ]
[ 2012-07-01T08:15:42+08:00 ] /top/index.php | NOTIC: [2] filemtime() [<a href='function.filemtime'>function.filemtime</a>]: stat failed for /private/tmp/LtAutoloader-token-cache/4e/85/4e85bc8c6cff463bba3cf1e0ee2c25b7.php Autoloader.php 第 277 行.
[ 2012-07-01T08:15:42+08:00 ] /top/index.php | NOTIC: [2] filemtime() [<a href='function.filemtime'>function.filemtime</a>]: stat failed for /private/tmp/LtAutoloader-token-cache/cc/42/cc42f02d0a0e6782cba5b1644e5493c0.php Autoloader.php 第 277 行.
[ 2012-07-01T08:15:42+08:00 ] /top/index.php | NOTIC: [2] filemtime() [<a href='function.filemtime'>function.filemtime</a>]: stat failed for /private/tmp/LtAutoloader-token-cache/2a/43/2a43b52bc6cf4b8da2ec429c14f0455c.php Autoloader.php 第 277 行.
[ 2012-07-01T08:15:42+08:00 ] /top/index.php | NOTIC: [2] filemtime() [<a href='function.filemtime'>function.filemtime</a>]: stat failed for /private/tmp/LtAutoloader-token-cache/b5/f4/b5f4d5e60cb0b133a9bf493f87c0eac5.php Autoloader.php 第 277 行.
[ 2012-07-01T08:15:42+08:00 ] /top/index.php | NOTIC: [2] filemtime() [<a href='function.filemtime'>function.filemtime</a>]: stat failed for /private/tmp/LtAutoloader-token-cache/c8/95/c8951e2a463e62a8c5ce757917e6cb46.php Autoloader.php 第 277 行.
[ 2012-07-01T08:15:42+08:00 ] /top/index.php | NOTIC: [2] filemtime() [<a href='function.filemtime'>function.filemtime</a>]: stat failed for /private/tmp/LtAutoloader-token-cache/cb/3a/cb3ae35c458d919eaedeec129df5b4f6.php Autoloader.php 第 277 行.
[ 2012-07-01T08:15:42+08:00 ] /top/index.php | NOTIC: [2] filemtime() [<a href='function.filemtime'>function.filemtime</a>]: stat failed for /private/tmp/LtAutoloader-token-cache/ac/cd/accd866d55c04f60c32634bea89f2f73.php Autoloader.php 第 277 行.
[ 2012-07-01T08:15:42+08:00 ] /top/index.php | NOTIC: [2] filemtime() [<a href='function.filemtime'>function.filemtime</a>]: stat failed for /private/tmp/LtAutoloader-token-cache/27/f2/27f2fc61b09bbbda448eace75bcb8540.php Autoloader.php 第 277 行.
[ 2012-07-01T08:15:42+08:00 ] /top/index.php | NOTIC: [2] filemtime() [<a href='function.filemtime'>function.filemtime</a>]: stat failed for /private/tmp/LtAutoloader-token-cache/7f/b3/7fb36c43121c7cb911cc974bf288276b.php Autoloader.php 第 277 行.
[ 2012-07-01T08:15:42+08:00 ] /top/index.php | NOTIC: [2] filemtime() [<a href='function.filemtime'>function.filemtime</a>]: stat failed for /private/tmp/LtAutoloader-token-cache/6e/59/6e59f60ecebfcd99a540f37de1061eec.php Autoloader.php 第 277 行.
[ 2012-07-01T08:15:42+08:00 ] /top/index.php | NOTIC: [2] filemtime() [<a href='function.filemtime'>function.filemtime</a>]: stat failed for /private/tmp/LtAutoloader-token-cache/a9/ba/a9baa33483e776bb939727176a20516e.php Autoloader.php 第 277 行.
[ 2012-07-01T08:15:42+08:00 ] /top/index.php | NOTIC: [2] filemtime() [<a href='function.filemtime'>function.filemtime</a>]: stat failed for /private/tmp/LtAutoloader-token-cache/fc/82/fc82fdecaad3f611dc4ef396d72adebb.php Autoloader.php 第 277 行.
