[ 2012-06-29T10:01:23+08:00 ] /top/index.php | INFO: Tag[ app_begin ] --START--
[ 2012-06-29T10:01:23+08:00 ] /top/index.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000412s ]
[ 2012-06-29T10:01:23+08:00 ] /top/index.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000531s ]
[ 2012-06-29T10:01:23+08:00 ] /top/index.php | SQL: SHOW COLUMNS FROM `sk_user` [ RunTime:0.000723s ]
[ 2012-06-29T10:01:23+08:00 ] /top/index.php | NOTIC: [2] Missing argument 1 for UserModel::getInventoryItems(), called in /Applications/XAMPP/xamppfiles/htdocs/top/top/Lib/Action/IndexAction.class.php on line 28 and defined UserModel.class.php 第 82 行.
[ 2012-06-29T10:01:23+08:00 ] /top/index.php | NOTIC: [8] Undefined variable: params UserModel.class.php 第 86 行.
[ 2012-06-29T10:01:24+08:00 ] /top/index.php | NOTIC: [2] Missing argument 1 for UserModel::getOnsaleItems(), called in /Applications/XAMPP/xamppfiles/htdocs/top/top/Lib/Action/IndexAction.class.php on line 35 and defined UserModel.class.php 第 93 行.
[ 2012-06-29T10:01:24+08:00 ] /top/index.php | NOTIC: [8] Undefined variable: params UserModel.class.php 第 97 行.
[ 2012-06-29T10:01:24+08:00 ] /top/index.php | NOTIC: [2] Missing argument 1 for UserModel::getOnShowcaseItems(), called in /Applications/XAMPP/xamppfiles/htdocs/top/top/Lib/Action/IndexAction.class.php on line 38 and defined UserModel.class.php 第 104 行.
[ 2012-06-29T10:01:24+08:00 ] /top/index.php | NOTIC: [8] Undefined variable: params UserModel.class.php 第 106 行.
[ 2012-06-29T10:01:25+08:00 ] /top/index.php | NOTIC: [2] Missing argument 1 for UserModel::getSellerCatsList(), called in /Applications/XAMPP/xamppfiles/htdocs/top/top/Lib/Action/IndexAction.class.php on line 41 and defined UserModel.class.php 第 113 行.
[ 2012-06-29T10:01:25+08:00 ] /top/index.php | NOTIC: [8] Undefined variable: params UserModel.class.php 第 117 行.
[ 2012-06-29T10:01:25+08:00 ] /top/index.php | INFO: Tag[ view_template ] --START--
[ 2012-06-29T10:01:25+08:00 ] /top/index.php | INFO: Run LocationTemplate Behavior [ RunTime:0.000541s ]
