[ 2012-09-01T03:58:10+08:00 ] /taodandan/index.php | INFO: Tag[ app_begin ] --START--
[ 2012-09-01T03:58:10+08:00 ] /taodandan/index.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000407s ]
[ 2012-09-01T03:58:10+08:00 ] /taodandan/index.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000487s ]
[ 2012-09-01T03:58:10+08:00 ] /taodandan/index.php | NOTIC: [2] Missing argument 1 for UserModel::__construct(), called in /Applications/XAMPP/xamppfiles/htdocs/taodandan/top/Lib/Action/IndexAction.class.php on line 21 and defined UserModel.class.php 第 20 行.
[ 2012-09-01T03:58:10+08:00 ] /taodandan/index.php | SQL: SHOW COLUMNS FROM `sk_user` [ RunTime:0.000892s ]
[ 2012-09-01T03:58:10+08:00 ] /taodandan/index.php | NOTIC: [8] Undefined variable: userId UserModel.class.php 第 23 行.
[ 2012-09-01T03:58:10+08:00 ] /taodandan/index.php | INFO: Tag[ view_template ] --START--
[ 2012-09-01T03:58:10+08:00 ] /taodandan/index.php | INFO: Run LocationTemplate Behavior [ RunTime:0.000246s ]
[ 2012-09-01T03:58:10+08:00 ] /taodandan/index.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.000305s ]
[ 2012-09-01T03:58:10+08:00 ] /taodandan/index.php | INFO: Tag[ view_parse ] --START--
[ 2012-09-01T03:58:10+08:00 ] /taodandan/index.php | INFO: Run ParseTemplate Behavior [ RunTime:0.009190s ]
[ 2012-09-01T03:58:10+08:00 ] /taodandan/index.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.009265s ]
[ 2012-09-01T03:58:10+08:00 ] /taodandan/index.php | INFO: Tag[ view_filter ] --START--
[ 2012-09-01T03:58:10+08:00 ] /taodandan/index.php | INFO: Run ContentReplace Behavior [ RunTime:0.000362s ]
[ 2012-09-01T03:58:10+08:00 ] /taodandan/index.php | INFO: Run TokenBuild Behavior [ RunTime:0.000320s ]
[ 2012-09-01T03:58:10+08:00 ] /taodandan/index.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000149s ]
[ 2012-09-01T03:58:10+08:00 ] /taodandan/index.php | INFO: Run ShowRuntime Behavior [ RunTime:0.000369s ]
[ 2012-09-01T03:58:10+08:00 ] /taodandan/index.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001363s ]
[ 2012-09-01T03:58:10+08:00 ] /taodandan/index.php | INFO: Tag[ view_end ] --START--
[ 2012-09-01T03:58:10+08:00 ] /taodandan/index.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.000326s ]
[ 2012-09-01T03:58:10+08:00 ] /taodandan/index.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.000380s ]
[ 2012-09-01T03:58:10+08:00 ] /taodandan/demos.css | ERR: (ThinkException) 无法加载模块demos.css
[ 2012-09-01T03:58:30+08:00 ] /taodandan/index.php | INFO: Tag[ app_begin ] --START--
