[ 2012-06-29T13:48:32+08:00 ] /top/admin.php/index/login | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2012-06-29T13:48:32+08:00 ] /top/admin.php/index/login | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2012-06-29T13:48:32+08:00 ] /top/admin.php/index/login | SQL: SHOW COLUMNS FROM `sk_admin_user` [ RunTime:0.000617s ]
[ 2012-06-29T13:48:32+08:00 ] /top/admin.php/index/login | SQL: SELECT * FROM `sk_admin_user` WHERE user_name = admin  [ RunTime:0.000115s ]
[ 2012-06-29T13:49:27+08:00 ] /top/admin.php/index/login | INFO: Tag[ route_check ] --START--
[ 2012-06-29T13:49:27+08:00 ] /top/admin.php/index/login | INFO: Run CheckRoute Behavior [ RunTime:0.001478s ]
[ 2012-06-29T13:49:27+08:00 ] /top/admin.php/index/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.001642s ]
[ 2012-06-29T13:49:27+08:00 ] /top/admin.php/index/login | INFO: Tag[ app_begin ] --START--
[ 2012-06-29T13:49:27+08:00 ] /top/admin.php/index/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000905s ]
[ 2012-06-29T13:49:27+08:00 ] /top/admin.php/index/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001034s ]
[ 2012-06-29T13:49:27+08:00 ] /top/admin.php/index/login | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2012-06-29T13:49:27+08:00 ] /top/admin.php/index/login | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2012-06-29T13:49:27+08:00 ] /top/admin.php/index/login | SQL: SHOW COLUMNS FROM `sk_admin_user` [ RunTime:0.001266s ]
[ 2012-06-29T13:49:27+08:00 ] /top/admin.php/index/login | SQL: SELECT * FROM `sk_admin_user` WHERE user_name = admin  [ RunTime:0.000323s ]
[ 2012-06-29T13:50:42+08:00 ] /top/admin.php/index/login | INFO: Tag[ route_check ] --START--
[ 2012-06-29T13:50:42+08:00 ] /top/admin.php/index/login | INFO: Run CheckRoute Behavior [ RunTime:0.000850s ]
