[ 2012-07-16T11:59:09+08:00 ] /top/admin.php | INFO: Tag[ app_begin ] --START--
[ 2012-07-16T11:59:09+08:00 ] /top/admin.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000831s ]
[ 2012-07-16T11:59:09+08:00 ] /top/admin.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001765s ]
[ 2012-07-16T11:59:09+08:00 ] /top/admin.php | INFO: Tag[ view_template ] --START--
[ 2012-07-16T11:59:09+08:00 ] /top/admin.php | INFO: Run LocationTemplate Behavior [ RunTime:0.000585s ]
[ 2012-07-16T11:59:09+08:00 ] /top/admin.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.000658s ]
[ 2012-07-16T11:59:09+08:00 ] /top/admin.php | INFO: Tag[ view_parse ] --START--
[ 2012-07-16T11:59:09+08:00 ] /top/admin.php | INFO: Run ParseTemplate Behavior [ RunTime:0.009006s ]
[ 2012-07-16T11:59:09+08:00 ] /top/admin.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.009079s ]
[ 2012-07-16T11:59:09+08:00 ] /top/admin.php | INFO: Tag[ view_filter ] --START--
[ 2012-07-16T11:59:09+08:00 ] /top/admin.php | INFO: Run ContentReplace Behavior [ RunTime:0.000580s ]
[ 2012-07-16T11:59:09+08:00 ] /top/admin.php | INFO: Run TokenBuild Behavior [ RunTime:0.001140s ]
[ 2012-07-16T11:59:09+08:00 ] /top/admin.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000399s ]
[ 2012-07-16T11:59:09+08:00 ] /top/admin.php | INFO: Run ShowRuntime Behavior [ RunTime:0.000603s ]
[ 2012-07-16T11:59:09+08:00 ] /top/admin.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002894s ]
[ 2012-07-16T11:59:09+08:00 ] /top/admin.php | INFO: Tag[ view_end ] --START--
[ 2012-07-16T11:59:09+08:00 ] /top/admin.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.000713s ]
[ 2012-07-16T11:59:09+08:00 ] /top/admin.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.000768s ]
[ 2012-07-16T11:59:32+08:00 ] /top/admin.php/index/index | INFO: Tag[ route_check ] --START--
[ 2012-07-16T11:59:32+08:00 ] /top/admin.php/index/index | INFO: Run CheckRoute Behavior [ RunTime:0.000646s ]
[ 2012-07-16T11:59:32+08:00 ] /top/admin.php/index/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.000723s ]
[ 2012-07-16T11:59:32+08:00 ] /top/admin.php/index/index | INFO: Tag[ app_begin ] --START--
[ 2012-07-16T11:59:32+08:00 ] /top/admin.php/index/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000402s ]
[ 2012-07-16T11:59:32+08:00 ] /top/admin.php/index/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000458s ]
[ 2012-07-16T11:59:32+08:00 ] /top/admin.php/index/index | INFO: Tag[ view_template ] --START--
[ 2012-07-16T11:59:32+08:00 ] /top/admin.php/index/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000261s ]
[ 2012-07-16T11:59:32+08:00 ] /top/admin.php/index/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.000323s ]
[ 2012-07-16T11:59:32+08:00 ] /top/admin.php/index/index | INFO: Tag[ view_parse ] --START--
[ 2012-07-16T11:59:32+08:00 ] /top/admin.php/index/index | INFO: Run ParseTemplate Behavior [ RunTime:0.006430s ]
[ 2012-07-16T11:59:32+08:00 ] /top/admin.php/index/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.006494s ]
[ 2012-07-16T11:59:32+08:00 ] /top/admin.php/index/index | INFO: Tag[ view_filter ] --START--
[ 2012-07-16T11:59:32+08:00 ] /top/admin.php/index/index | INFO: Run ContentReplace Behavior [ RunTime:0.000252s ]
[ 2012-07-16T11:59:32+08:00 ] /top/admin.php/index/index | INFO: Run TokenBuild Behavior [ RunTime:0.000333s ]
[ 2012-07-16T11:59:32+08:00 ] /top/admin.php/index/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000153s ]
[ 2012-07-16T11:59:32+08:00 ] /top/admin.php/index/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000343s ]
[ 2012-07-16T11:59:32+08:00 ] /top/admin.php/index/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001230s ]
[ 2012-07-16T11:59:32+08:00 ] /top/admin.php/index/index | INFO: Tag[ view_end ] --START--
[ 2012-07-16T11:59:32+08:00 ] /top/admin.php/index/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000321s ]
[ 2012-07-16T11:59:32+08:00 ] /top/admin.php/index/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000370s ]
[ 2012-07-16T12:02:11+08:00 ] /top/admin.php | INFO: Tag[ app_begin ] --START--
[ 2012-07-16T12:02:11+08:00 ] /top/admin.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000443s ]
[ 2012-07-16T12:02:11+08:00 ] /top/admin.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000571s ]
[ 2012-07-16T12:02:11+08:00 ] /top/admin.php | INFO: Tag[ view_template ] --START--
[ 2012-07-16T12:02:11+08:00 ] /top/admin.php | INFO: Run LocationTemplate Behavior [ RunTime:0.000256s ]
[ 2012-07-16T12:02:11+08:00 ] /top/admin.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.000318s ]
[ 2012-07-16T12:02:11+08:00 ] /top/admin.php | INFO: Tag[ view_parse ] --START--
[ 2012-07-16T12:02:11+08:00 ] /top/admin.php | INFO: Run ParseTemplate Behavior [ RunTime:0.005987s ]
