[ 2012-06-30T09:39:53+08:00 ] /top/admin.php/index/performTask | INFO: Run CheckRoute Behavior [ RunTime:0.000631s ]
[ 2012-06-30T09:39:53+08:00 ] /top/admin.php/index/performTask | INFO: Tag[ route_check ] --END-- [ RunTime:0.000700s ]
[ 2012-06-30T09:39:53+08:00 ] /top/admin.php/index/performTask | INFO: Tag[ app_begin ] --START--
[ 2012-06-30T09:39:53+08:00 ] /top/admin.php/index/performTask | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000376s ]
[ 2012-06-30T09:39:53+08:00 ] /top/admin.php/index/performTask | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000429s ]
[ 2012-06-30T09:40:04+08:00 ] /top/admin.php/index/performTask | INFO: Tag[ route_check ] --START--
[ 2012-06-30T09:40:04+08:00 ] /top/admin.php/index/performTask | INFO: Run CheckRoute Behavior [ RunTime:0.000681s ]
[ 2012-06-30T09:40:04+08:00 ] /top/admin.php/index/performTask | INFO: Tag[ route_check ] --END-- [ RunTime:0.000753s ]
[ 2012-06-30T09:40:04+08:00 ] /top/admin.php/index/performTask | INFO: Tag[ app_begin ] --START--
[ 2012-06-30T09:40:04+08:00 ] /top/admin.php/index/performTask | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000390s ]
[ 2012-06-30T09:40:04+08:00 ] /top/admin.php/index/performTask | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000442s ]
[ 2012-06-30T09:40:15+08:00 ] /top/admin.php/index/performTask | INFO: Tag[ route_check ] --START--
[ 2012-06-30T09:40:15+08:00 ] /top/admin.php/index/performTask | INFO: Run CheckRoute Behavior [ RunTime:0.000619s ]
[ 2012-06-30T09:40:15+08:00 ] /top/admin.php/index/performTask | INFO: Tag[ route_check ] --END-- [ RunTime:0.000685s ]
[ 2012-06-30T09:40:15+08:00 ] /top/admin.php/index/performTask | INFO: Tag[ app_begin ] --START--
[ 2012-06-30T09:40:15+08:00 ] /top/admin.php/index/performTask | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000370s ]
[ 2012-06-30T09:40:15+08:00 ] /top/admin.php/index/performTask | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000443s ]
[ 2012-06-30T09:40:26+08:00 ] /top/admin.php/index/performTask | INFO: Tag[ route_check ] --START--
[ 2012-06-30T09:40:26+08:00 ] /top/admin.php/index/performTask | INFO: Run CheckRoute Behavior [ RunTime:0.000680s ]
[ 2012-06-30T09:40:26+08:00 ] /top/admin.php/index/performTask | INFO: Tag[ route_check ] --END-- [ RunTime:0.000752s ]
[ 2012-06-30T09:40:26+08:00 ] /top/admin.php/index/performTask | INFO: Tag[ app_begin ] --START--
[ 2012-06-30T09:40:26+08:00 ] /top/admin.php/index/performTask | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000407s ]
[ 2012-06-30T09:40:26+08:00 ] /top/admin.php/index/performTask | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000463s ]
[ 2012-06-30T09:40:37+08:00 ] /top/admin.php/index/performTask | INFO: Tag[ route_check ] --START--
[ 2012-06-30T09:40:37+08:00 ] /top/admin.php/index/performTask | INFO: Run CheckRoute Behavior [ RunTime:0.000598s ]
[ 2012-06-30T09:40:37+08:00 ] /top/admin.php/index/performTask | INFO: Tag[ route_check ] --END-- [ RunTime:0.000665s ]
